date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:36	5891/5891	---MCZ	200	added ('OK')	text/css	etag:W/%22d7ba4dc258f131c1bd8afd267becd982%22	https://layrid.tomoyaokada.com/_nuxt/next-section.BoHrFm2P.css	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/_nuxt/next-section.BoHrFm2P.css	(from https://layrid.tomoyaokada.com/creative/)
08:45:36	2201818/2201818	---M--	200	added ('OK')	image/png	etag:%2250ac8df1e98eee6895c85d250277817a%22	https://layrid.tomoyaokada.com/ogp.png	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/ogp.png	(from https://layrid.tomoyaokada.com/favicons/site-tile-144x144.png)
08:45:36	69/69	---M--	200	added ('OK')	application/json	etag:%22331e6bbbbf2e116bed901707c99c8f4e%22	https://layrid.tomoyaokada.com/creative/_payload.json?52255b0d-d410-4f3d-82dd-88b188df1ab6	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/creative/_payload0b29.json	(from https://layrid.tomoyaokada.com/creative/)
08:45:37	3390/3390	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e2be229b1deafd5997dae566851b7e36%22	https://layrid.tomoyaokada.com/_nuxt/CRwOg4uG.js	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/_nuxt/CRwOg4uG.js	(from https://layrid.tomoyaokada.com/creative/)
08:45:37	4930/4930	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d5286034621c6c0fad603f56b4d702e2%22	https://layrid.tomoyaokada.com/_nuxt/fOqOXfQy.js	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/_nuxt/fOqOXfQy.js	(from https://layrid.tomoyaokada.com/creative/)
08:45:39	198092/198092	---M--	200	added ('OK')	image/webp	etag:%22be56ecc0f0e8f61a803ce3db46956267%22	https://layrid.tomoyaokada.com/images/single/exploration.webp	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/images/single/exploration.webp	(from https://layrid.tomoyaokada.com/creative/)
08:45:39	69/69	---M--	200	added ('OK')	application/json	etag:%22ebd885e5ab1b39281c46647cbbf920c0%22	https://layrid.tomoyaokada.com/exploration/_payload.json?52255b0d-d410-4f3d-82dd-88b188df1ab6	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/exploration/_payload0b29.json	(from https://layrid.tomoyaokada.com/exploration/)
08:45:40	3430/3430	---MCZ	200	added ('OK')	application/javascript	etag:W/%2227648b0dbca3355b36c23ad1f3683e26%22	https://layrid.tomoyaokada.com/_nuxt/Su8BOr-q.js	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/_nuxt/Su8BOr-q.js	(from https://layrid.tomoyaokada.com/exploration/)
08:45:43	60684/60684	---M--	200	added ('OK')	image/webp	etag:%22e431d4f38a7129d860017d10bc7e4cb3%22	https://layrid.tomoyaokada.com/images/single/growth.webp	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/images/single/growth.webp	(from https://layrid.tomoyaokada.com/exploration/)
08:45:45	69/69	---M--	200	added ('OK')	application/json	etag:%22331e6bbbbf2e116bed901707c99c8f4e%22	https://layrid.tomoyaokada.com/growth/_payload.json?52255b0d-d410-4f3d-82dd-88b188df1ab6	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/growth/_payload0b29.json	(from https://layrid.tomoyaokada.com/growth/)
08:45:46	3397/3397	---MCZ	200	added ('OK')	application/javascript	etag:W/%2282b5363db57b4b4c2c8cbaa4fbd07ed9%22	https://layrid.tomoyaokada.com/_nuxt/DR0OAIcu.js	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/_nuxt/DR0OAIcu.js	(from https://layrid.tomoyaokada.com/growth/)
08:45:49	47386/47386	---M--	200	added ('OK')	image/webp	etag:%22b02d61aed33825673c69729adbe031ef%22	https://layrid.tomoyaokada.com/images/single/expression.webp	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/images/single/expression.webp	(from https://layrid.tomoyaokada.com/growth/)
08:45:51	69/69	---M--	200	added ('OK')	application/json	etag:%22ebd885e5ab1b39281c46647cbbf920c0%22	https://layrid.tomoyaokada.com/expression/_payload.json?52255b0d-d410-4f3d-82dd-88b188df1ab6	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/expression/_payload0b29.json	(from https://layrid.tomoyaokada.com/expression/)
08:45:53	3393/3393	---MCZ	200	added ('OK')	application/javascript	etag:W/%22728800c0d0624cf6aa6b87ae76084c32%22	https://layrid.tomoyaokada.com/_nuxt/DMOqXkVi.js	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/_nuxt/DMOqXkVi.js	(from https://layrid.tomoyaokada.com/expression/)
08:45:53	12635010/12635010	---M--	200	added ('OK')	video/mp4	etag:%224a8f7bcd559822e574eb195599da38ce%22	https://layrid.tomoyaokada.com/video/growth.mp4	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/video/growth.mp4	(from https://layrid.tomoyaokada.com/growth/)
08:46:01	178202/178202	---M--	200	added ('OK')	image/webp	etag:%22e39910a4f5111d30adbbd677c8e1e67e%22	https://layrid.tomoyaokada.com/images/single/playfulness.webp	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/images/single/playfulness.webp	(from https://layrid.tomoyaokada.com/expression/)
08:46:02	19220204/19220204	---M--	200	added ('OK')	video/mp4	etag:%22d75b40969531d2e8096a3bbb7bf6e01f%22	https://layrid.tomoyaokada.com/video/creative.mp4	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/video/creative.mp4	(from https://layrid.tomoyaokada.com/creative/)
08:46:02	69/69	---M--	200	added ('OK')	application/json	etag:%22ebd885e5ab1b39281c46647cbbf920c0%22	https://layrid.tomoyaokada.com/playfulness/_payload.json?52255b0d-d410-4f3d-82dd-88b188df1ab6	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/playfulness/_payload0b29.json	(from https://layrid.tomoyaokada.com/playfulness/)
08:46:04	3434/3434	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b54766d9c5a4c8e910a3a7ea9ff5c794%22	https://layrid.tomoyaokada.com/_nuxt/CquKwhql.js	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/_nuxt/CquKwhql.js	(from https://layrid.tomoyaokada.com/playfulness/)
08:46:08	14286283/14286283	---M--	200	added ('OK')	video/mp4	etag:%22d93b27dde3f254e3def7c7daa34faeee%22	https://layrid.tomoyaokada.com/video/playfulness.mp4	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/video/playfulness.mp4	(from https://layrid.tomoyaokada.com/playfulness/)
08:46:11	19092760/19092760	---M--	200	added ('OK')	video/mp4	etag:%2250c9290b8f221709936d2a2099f92fb8%22	https://layrid.tomoyaokada.com/video/exploration.mp4	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/video/exploration.mp4	(from https://layrid.tomoyaokada.com/exploration/)
08:46:25	15840187/15840187	---M--	200	added ('OK')	video/mp4	etag:%226f2c664aff2dcad374f4c6adedbb0883%22	https://layrid.tomoyaokada.com/video/expression.mp4	C:/Mes%20Sites%20Web/lariya/layrid.tomoyaokada.com/video/expression.mp4	(from https://layrid.tomoyaokada.com/expression/)
